customer_id,age,city,total_spent,purchase_count,last_purchase,segment
CUST00001,45,Istanbul,2402.72,35,2026-06-25,Premium
CUST00002,66,Istanbul,1520.17,4,2025-07-20,Standard
CUST00003,31,Gaziantep,7517.32,27,2026-05-30,Standard
CUST00004,20,Mersin,3065.66,26,2025-09-20,Basic
CUST00005,20,Bursa,8153.55,44,2025-10-24,Standard
CUST00006,48,Konya,1915.68,26,2026-03-27,Basic
CUST00007,35,Istanbul,8265.95,17,2026-04-21,Standard
CUST00008,53,Istanbul,3356.88,18,2026-03-23,Basic
CUST00009,25,Gaziantep,2771.71,44,2026-03-11,Standard
CUST00010,44,Izmir,1420.34,38,2026-04-15,Standard
CUST00011,34,Mersin,4708.83,79,2026-04-15,Standard
CUST00012,52,Istanbul,1958.86,72,2026-04-26,Standard
CUST00013,56,Konya,1586.12,61,2026-01-30,Basic
CUST00014,22,Antalya,4981.54,34,2026-04-03,Basic
CUST00015,18,Mersin,6276.08,96,2026-05-17,Basic
CUST00016,62,Antalya,4927.63,22,2025-09-25,Standard
CUST00017,64,Mersin,5814.77,34,2026-04-24,Premium
CUST00018,36,Konya,4784.5,68,2025-08-11,Standard
CUST00019,19,Istanbul,9346.42,55,2025-08-20,Basic
CUST00020,44,Istanbul,7386.03,40,2025-12-24,Standard
CUST00021,53,Istanbul,3395.34,57,2025-10-21,Premium
CUST00022,37,Kayseri,3061.77,39,2026-04-15,Standard
CUST00023,60,Ankara,6768.08,48,2026-03-17,Basic
CUST00024,21,Mersin,9723.41,84,2026-02-09,Standard
CUST00025,54,Mersin,2331.38,71,2025-10-10,Standard
CUST00026,37,Gaziantep,4799.5,55,2025-11-30,Premium
CUST00027,30,Gaziantep,2490.22,36,2025-08-05,Basic
CUST00028,34,Mersin,424.14,63,2026-04-26,Premium
CUST00029,54,Antalya,1221.21,53,2025-07-26,Basic
CUST00030,37,Antalya,6031.77,20,2026-06-19,Basic
CUST00031,58,Adana,4145.87,30,2026-04-12,Basic
CUST00032,62,Antalya,8344.49,81,2025-12-05,Standard
CUST00033,47,Bursa,2531.93,1,2025-11-14,Premium
CUST00034,70,Ankara,5099.85,85,2026-03-23,Premium
CUST00035,43,Adana,7256.64,16,2026-02-11,Standard
CUST00036,43,Adana,309.89,67,2026-02-19,Standard
CUST00037,49,Istanbul,4100.45,15,2026-02-17,Standard
CUST00038,37,Izmir,9408.04,77,2025-09-25,Basic
CUST00039,68,Antalya,3166.65,18,2025-10-10,Basic
CUST00040,42,Bursa,2991.38,69,2026-04-17,Standard
