date,product,category,region,price,quantity,total
2026-04-25,External SSD,Audio,South,205.23,4,820.91
2026-02-18,Gaming Console,Gaming,South,373.81,1,373.81
2026-03-06,Laptop Pro,Computers,West,1315.86,4,5263.45
2026-05-16,Keyboard Mech,Computers,West,121.34,4,485.36
2026-07-11,Mouse Pro,Gaming,East,71.6,1,71.6
2026-02-18,Monitor Ultra,Gaming,North,306.57,5,1532.86
2026-03-26,Laptop Pro,Computers,Central,1207.41,3,3622.23
2026-02-18,Keyboard Mech,Accessories,South,121.16,5,605.82
2026-05-10,Wireless Earbuds,Audio,Central,174.95,3,524.84
2026-06-26,Wireless Earbuds,Audio,West,155.65,3,466.96
2026-02-19,Keyboard Mech,Accessories,West,121.32,1,121.32
2026-04-03,Laptop Pro,Audio,South,1000.54,3,3001.63
2026-06-23,Tablet Air,Accessories,West,474.12,4,1896.46
2026-02-08,Monitor Ultra,Audio,Central,354.4,2,708.8
2026-05-13,Smart Watch,Gaming,Central,260.24,4,1040.96
2026-07-08,Gaming Console,Audio,East,398.74,4,1594.96
2026-04-29,Keyboard Mech,Accessories,South,131.44,1,131.44
2026-04-06,Wireless Earbuds,Electronics,West,143.31,4,573.23
2026-05-01,Wireless Earbuds,Electronics,East,126.81,2,253.61
2026-04-28,Tablet Air,Computers,Central,531.41,5,2657.04
2026-02-11,Gaming Console,Accessories,West,525.79,5,2628.94
2026-07-11,Gaming Console,Audio,West,406.6,1,406.6
2026-05-01,External SSD,Computers,East,239.97,2,479.95
2026-06-25,Smart Watch,Electronics,East,338.32,1,338.32
2026-05-14,Gaming Console,Accessories,East,421.3,3,1263.9
2026-03-23,Gaming Console,Electronics,South,361.49,2,722.99
2026-04-10,Wireless Earbuds,Audio,Central,160.23,2,320.45
2026-01-25,Gaming Console,Electronics,South,450.92,4,1803.69
2026-06-25,Laptop Pro,Audio,East,964.17,5,4820.85
2026-04-17,Gaming Console,Electronics,South,494.09,2,988.17
2026-02-05,Monitor Ultra,Audio,East,373.04,5,1865.19
2026-03-06,Keyboard Mech,Audio,East,103.23,3,309.7
2026-07-12,Laptop Pro,Computers,Central,1366.2,3,4098.61
2026-02-22,Monitor Ultra,Gaming,South,289.02,5,1445.09
2026-01-16,Smart Watch,Gaming,North,269.33,1,269.33
2026-04-21,Smart Watch,Accessories,Central,285.11,1,285.11
2026-04-06,Laptop Pro,Gaming,West,1253.35,2,2506.7
2026-03-30,External SSD,Audio,South,193.5,3,580.49
2026-02-15,Tablet Air,Audio,Central,441.6,1,441.6
2026-04-25,Gaming Console,Accessories,North,526.11,1,526.11
2026-04-24,Smartphone X,Gaming,West,834.77,2,1669.54
2026-06-08,Smartphone X,Electronics,North,889.62,1,889.62
2026-04-09,Laptop Pro,Accessories,East,1256.1,1,1256.1
2026-03-09,Gaming Console,Accessories,West,527.95,3,1583.84
2026-03-24,Laptop Pro,Computers,Central,1157.09,4,4628.34
2026-06-25,Smart Watch,Electronics,East,347.67,2,695.33
2026-04-05,Laptop Pro,Gaming,West,1052.65,3,3157.96
2026-06-20,Smart Watch,Accessories,East,284.87,2,569.75
2026-06-14,Monitor Ultra,Computers,West,389.55,4,1558.21
2026-05-19,External SSD,Computers,East,239.09,4,956.36
2026-01-16,External SSD,Gaming,Central,230.99,4,923.98
2026-01-17,Tablet Air,Gaming,North,537.29,2,1074.58
2026-05-01,Monitor Ultra,Computers,South,319.16,3,957.47
2026-05-28,External SSD,Gaming,East,193.74,1,193.74
2026-05-26,External SSD,Electronics,East,166.42,1,166.42
2026-03-16,Wireless Earbuds,Audio,North,163.69,2,327.37
2026-02-11,Keyboard Mech,Gaming,Central,117.82,1,117.82
2026-06-02,Laptop Pro,Gaming,East,1399.2,2,2798.41
2026-03-04,Tablet Air,Electronics,North,558.96,2,1117.93
2026-03-21,Mouse Pro,Audio,East,73.97,2,147.95
2026-05-03,External SSD,Audio,East,207.55,1,207.55
2026-02-11,Tablet Air,Computers,West,485.74,1,485.74
2026-06-03,Monitor Ultra,Gaming,East,336.62,1,336.62
2026-06-12,Keyboard Mech,Gaming,South,134.82,1,134.82
2026-04-29,Smart Watch,Gaming,North,277.24,5,1386.18
2026-06-11,Smartphone X,Audio,West,704.42,1,704.42
2026-01-29,Monitor Ultra,Audio,East,294.71,4,1178.83
2026-05-24,Monitor Ultra,Accessories,East,408.63,3,1225.9
2026-01-16,Smartphone X,Computers,East,770.3,2,1540.61
2026-07-08,Tablet Air,Gaming,South,406.87,4,1627.46
2026-04-08,Smartphone X,Gaming,West,775.55,4,3102.22
2026-02-06,Keyboard Mech,Accessories,West,143.55,1,143.55
2026-04-07,Wireless Earbuds,Audio,West,149.86,2,299.72
2026-02-17,Smart Watch,Accessories,West,242.19,3,726.57
2026-06-28,Keyboard Mech,Audio,Central,97.3,1,97.3
2026-04-23,Laptop Pro,Computers,South,1228.06,1,1228.06
2026-04-08,External SSD,Gaming,South,229.29,1,229.29
2026-07-10,Monitor Ultra,Computers,Central,406.69,3,1220.07
2026-05-23,Laptop Pro,Computers,Central,1020.98,2,2041.97
2026-05-17,Smart Watch,Accessories,North,257.41,5,1287.04
2026-02-06,External SSD,Audio,East,239.24,3,717.73
2026-01-18,Smartphone X,Electronics,South,938.57,4,3754.26
