id,product,category,region,price,quantity,total,date,status
1,Printer,Accessories,North,1397.79,13,18171.27,2026-07-13,Delivered
2,Printer,Office,East,668.49,10,6684.9,2026-07-13,Delivered
3,Scanner,Office,South,702.29,18,12641.22,2026-07-13,Pending
4,Mouse,Computers,North,1779.34,1,1779.34,2026-07-13,Cancelled
5,Keyboard,Office,Central,1956.63,15,29349.45,2026-07-13,Delivered
6,Keyboard,Electronics,South,1659.31,3,4977.93,2026-07-13,Delivered
7,Keyboard,Office,West,956.78,5,4783.9,2026-07-13,Cancelled
8,Printer,Office,North,1855.98,5,9279.9,2026-07-13,Pending
9,Monitor,Computers,North,1776.02,15,26640.3,2026-07-13,Delivered
10,Laptop,Electronics,Central,1029.55,9,9265.95,2026-07-13,Shipped
11,Monitor,Accessories,North,1866.62,18,33599.16,2026-07-13,Delivered
12,Monitor,Computers,West,871.47,14,12200.58,2026-07-13,Cancelled
13,Scanner,Electronics,East,227.02,1,227.02,2026-07-13,Delivered
14,Scanner,Office,West,403.17,17,6853.89,2026-07-13,Pending
15,Mouse,Office,Central,621.47,1,621.47,2026-07-13,Delivered
16,Scanner,Accessories,West,185.32,11,2038.52,2026-07-13,Delivered
17,Keyboard,Office,West,1417.61,11,15593.71,2026-07-13,Delivered
18,Monitor,Accessories,East,1064.5,14,14903.0,2026-07-13,Pending
19,Scanner,Office,East,753.39,8,6027.12,2026-07-13,Shipped
20,Scanner,Electronics,Central,1446.66,19,27486.54,2026-07-13,Delivered
21,Scanner,Accessories,West,1635.32,14,22894.48,2026-07-13,Shipped
22,Scanner,Computers,Central,543.98,19,10335.62,2026-07-13,Shipped
23,Monitor,Office,West,1373.9,8,10991.2,2026-07-13,Delivered
24,Mouse,Office,South,203.31,1,203.31,2026-07-13,Pending
25,Tablet,Accessories,East,1959.58,5,9797.9,2026-07-13,Delivered
26,Keyboard,Accessories,Central,1548.79,16,24780.64,2026-07-13,Shipped
27,Laptop,Accessories,South,311.84,2,623.68,2026-07-13,Shipped
28,Laptop,Office,East,801.03,5,4005.15,2026-07-13,Delivered
29,Laptop,Office,Central,1611.51,9,14503.59,2026-07-13,Pending
30,Laptop,Office,South,709.4,15,10641.0,2026-07-13,Pending
31,Scanner,Electronics,West,671.23,13,8725.99,2026-07-13,Cancelled
32,Scanner,Office,West,1872.27,7,13105.89,2026-07-13,Pending
33,Mouse,Office,North,834.32,19,15852.08,2026-07-13,Shipped
